type,subtype,ts,user,text,channel_name
message,channel_join,1616336527.0034,U01RVSTNRRT,<@U01RVSTNRRT> has joined the channel,dbootcamp
message,channel_join,1616346192.0036,U01RW140HBP,<@U01RW140HBP> has joined the channel,dbootcamp
message,channel_join,1616394759.0002,U01S65G72SY,<@U01S65G72SY> has joined the channel,dbootcamp
message,channel_join,1616107551.0002,U01RSRE0N3D,<@U01RSRE0N3D> has joined the channel,dbootcamp
message,channel_join,1616400467.0003,U01RRV4JX6Z,<@U01RRV4JX6Z> has joined the channel,dbootcamp
message,channel_join,1616158729.0002,U01S79YDELR,<@U01S79YDELR> has joined the channel,dbootcamp
message,channel_join,1616158788.0004,U01RUTP1ZQB,<@U01RUTP1ZQB> has joined the channel,dbootcamp
message,channel_join,1616159021.0006,U01RUU9SK4K,<@U01RUU9SK4K> has joined the channel,dbootcamp
message,channel_join,1616159457.0008,U01S7BM4N81,<@U01S7BM4N81> has joined the channel,dbootcamp
message,channel_join,1616160530.001,U01SJKB2MG8,<@U01SJKB2MG8> has joined the channel,dbootcamp
message,channel_join,1616161193.0012,U01RV3K524T,<@U01RV3K524T> has joined the channel,dbootcamp
message,channel_join,1616161614.0014,U01S133DZ9A,<@U01S133DZ9A> has joined the channel,dbootcamp
message,channel_join,1616162617.0016,U01RN7BVD1C,<@U01RN7BVD1C> has joined the channel,dbootcamp
message,channel_join,1616162776.0018,U01S7KCL3DF,<@U01S7KCL3DF> has joined the channel,dbootcamp
message,channel_join,1616165496.0022,U01S1CWGTU4,<@U01S1CWGTU4> has joined the channel,dbootcamp
message,channel_join,1616165610.0024,U01RNEU3SNA,<@U01RNEU3SNA> has joined the channel,dbootcamp
message,channel_join,1616167027.0026,U01RS9Y6UJH,<@U01RS9Y6UJH> has joined the channel,dbootcamp
message,channel_join,1616168064.0028,U01SK96QF5E,<@U01SK96QF5E> has joined the channel,dbootcamp
message,channel_join,1616172018.003,U01RP2K1606,<@U01RP2K1606> has joined the channel,dbootcamp
message,channel_join,1616172267.0032,U01RW2X7S9Z,<@U01RW2X7S9Z> has joined the channel,dbootcamp
