type,subtype,ts,user,text,inviter,client_msg_id,team,user_team,source_team,user_profile,blocks,thread_ts,parent_user_id,reactions,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,last_read,attachments,files,upload,display_as_bot,edited,channel_name
message,channel_join,1620629188.0002,U01RSRE0N3D,<@U01RSRE0N3D> has joined the channel,,,,,,,,,,,,,,,,,,,,,,,,finalproject
message,channel_join,1620629256.0004,U01SJKB2MG8,<@U01SJKB2MG8> has joined the channel,U01RSRE0N3D,,,,,,,,,,,,,,,,,,,,,,,finalproject
message,,1620890003.0402,U01RW2X7S9Z,"i went up against e-bay, it didn't work for me :sob:",,a043d08e-4721-4a9a-9617-b1ed00ab92ed,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'dU=i', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': ""i went up against e-bay, it didn't work for me ""}, {'type': 'emoji', 'name': 'sob'}]}]}]",1620823548.0206,U01RN7BVD1C,"[{'name': 'sob', 'users': ['U01RN7BVD1C'], 'count': 1}]",,,,,,,,,,,,,,finalproject
message,,1620891285.0404,U01S7KCL3DF,do you need to watch the Japanese fisherman again?,,817352ee-cad4-4cdf-a674-a04006b042af,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'w=nk', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'do you need to watch the Japanese fisherman again?'}]}]}]",1620823548.0206,U01RN7BVD1C,,,,,,,,,,,,,,,finalproject
message,,1620892477.0407,U01RW2X7S9Z,"nah, i went into the honeypot labeled as:kaggle",,32c7409c-7e42-40a6-9fd5-c1ab9b900691,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'L9Pc', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'nah, i went into the honeypot labeled as:kaggle'}]}]}]",1620823548.0206,U01RN7BVD1C,,,,,,,,,,,,,,,finalproject
message,,1620894549.0413,U01RSRE0N3D,Update: we are currently running about 10 min behind schedule :v:,,f6bd54dd-4851-4eea-9e94-cad00b269361,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '5b0571ca5e6f', 'image_72': 'https://avatars.slack-edge.com/2021-03-18/1876877550179_5b0571ca5e6fe1f759fe_72.jpg', 'first_name': 'Kosta', 'real_name': 'Kosta', 'display_name': 'Kosta', 'team': 'T01RBRV5F7H', 'name': 'kostadin.mitkov', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': '28LLO', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Update: we are currently running about 10 min behind schedule '}, {'type': 'emoji', 'name': 'v'}]}]}]",1620894549.0413,,"[{'name': '+1', 'users': ['U01SK96QF5E', 'U01RRV4JX6Z'], 'count': 2}]",2.0,2.0,1620898751.0462,"['U01RRV4JX6Z', 'U01RN7BVD1C']","[{'user': 'U01RRV4JX6Z', 'ts': '1620895842.043700'}, {'user': 'U01RN7BVD1C', 'ts': '1620898751.046200'}]",0.0,1.0,1620898751.0462,,,,,,finalproject
message,,1620895217.0431,U01RW140HBP,to help us help you… please *try* to be succinct about the aim of your project today. what are you trying to find out? what skills/techniques from the course will you be using?,,f0339af4-1164-4f9e-9876-7b2dd4baaa27,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'Mdcab', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'to help us help you… please '}, {'type': 'text', 'text': 'try', 'style': {'bold': True}}, {'type': 'text', 'text': ' to be succinct about the aim of your project today. what are you trying to find out? what skills/techniques from the course will you be using?'}]}]}]",,,"[{'name': 'white_check_mark', 'users': ['U01RRV4JX6Z'], 'count': 1}]",,,,,,,,,,,,,,finalproject
message,,1620895842.0437,U01RRV4JX6Z,I mislooked my time,,a220ece5-72ac-4fbf-bfc4-51e949ce4eea,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '339c4d69b7d9', 'image_72': 'https://avatars.slack-edge.com/2021-04-14/1961122781618_339c4d69b7d9fe16343a_72.jpg', 'first_name': '', 'real_name': 'Francisco Ebeling', 'display_name': 'Francisco Ebeling', 'team': 'T01RBRV5F7H', 'name': 'ebelingbarros', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'hN4AX', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'I mislooked my time'}]}]}]",1620894549.0413,U01RSRE0N3D,,,,,,,,,,,,,,,finalproject
message,,1620896430.0446,U01RSRE0N3D,"Also, please wait for us to call you in the breakout room :v:",,26e7b2f7-d117-43de-9c2c-bbe856c83c8e,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '5b0571ca5e6f', 'image_72': 'https://avatars.slack-edge.com/2021-03-18/1876877550179_5b0571ca5e6fe1f759fe_72.jpg', 'first_name': 'Kosta', 'real_name': 'Kosta', 'display_name': 'Kosta', 'team': 'T01RBRV5F7H', 'name': 'kostadin.mitkov', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 's2p7R', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Also, please wait for us to call you in the breakout room '}, {'type': 'emoji', 'name': 'v'}]}]}]",,,,,,,,,,,,,,,,,finalproject
message,,1620897933.0459,U01S133DZ9A,"""Ludwig aims to democratize machine learning, making it accessible to coders and non-coders alike"" - music to my ears: <https://eng.uber.com/introducing-ludwig/>",,e8f9a32b-915c-4fd5-9226-430b37f85c29,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'adb8b81e55b5', 'image_72': 'https://avatars.slack-edge.com/2021-03-23/1887337161925_adb8b81e55b5ac488cf1_72.jpg', 'first_name': 'Simon', 'real_name': 'Simon Data', 'display_name': 'Simon Data', 'team': 'T01RBRV5F7H', 'name': 'simples707data', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'FqMQb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': '""Ludwig aims to democratize machine learning, making it accessible to coders and non-coders alike"" - music to my ears: '}, {'type': 'link', 'url': 'https://eng.uber.com/introducing-ludwig/'}]}]}]",,,"[{'name': 'the_horns', 'users': ['U01SK96QF5E', 'U01RXCQHMHT'], 'count': 2}]",,,,,,,,,"[{'service_name': 'Uber Engineering Blog', 'title': 'Introducing Ludwig, a Code-Free Deep Learning Toolbox', 'title_link': 'https://eng.uber.com/introducing-ludwig/', 'text': 'Uber AI developed Ludwig, a code-free deep learning toolbox, to make deep learning more accessible to non-experts and enable faster model iteration cycles.', 'fallback': 'Uber Engineering Blog: Introducing Ludwig, a Code-Free Deep Learning Toolbox', 'image_url': 'https://eng.uber.com/wp-content/uploads/2019/02/Ludwig-Header.png', 'image_width': 584, 'image_height': 250, 'fields': [{'title': 'Written by', 'value': 'Piero Molino', 'short': True}, {'title': 'Est. reading time', 'value': '12 minutes', 'short': True}], 'ts': 1549893647, 'from_url': 'https://eng.uber.com/introducing-ludwig/', 'image_bytes': 398437, 'service_icon': 'https://1fykyq3mdn5r21tpna3wkdyi-wpengine.netdna-ssl.com/wp-content/uploads/2019/02/favicon.png', 'id': 1, 'original_url': 'https://eng.uber.com/introducing-ludwig/'}]",,,,,finalproject
