client_msg_id,type,text,user,ts,team,user_team,source_team,user_profile,attachments,blocks,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,last_read,reactions,edited,parent_user_id,bot_id,bot_profile,files,upload,display_as_bot,subtype,inviter,topic
593fe4d1-4a6b-4827-9c53-260376d6493f,message,<https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python>,U01RSRE0N3D,1618229024.0002,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '5b0571ca5e6f', 'image_72': 'https://avatars.slack-edge.com/2021-03-18/1876877550179_5b0571ca5e6fe1f759fe_72.jpg', 'first_name': 'Kosta', 'real_name': 'Kosta', 'display_name': 'Kosta', 'team': 'T01RBRV5F7H', 'name': 'kostadin.mitkov', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'Codewars', 'title': 'Training on MakeUpperCase | Codewars', 'title_link': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python', 'text': 'Codewars is where developers achieve code mastery through challenge. Train on kata in the dojo and reach your highest potential.', 'fallback': 'Codewars: Training on MakeUpperCase | Codewars', 'from_url': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python', 'thumb_url': 'https://www.codewars.com/assets/logos/logo-square-paper-bg-c3d2b1eb4fb35d75b0c0c0e3b74616fab527afdce9d1d3184624cf0b4e950357.jpg', 'thumb_width': 200, 'thumb_height': 200, 'service_icon': 'https://www.codewars.com/favicon.ico', 'id': 1, 'original_url': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python'}]","[{'type': 'rich_text', 'block_id': 'EhY', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python'}]}]}]",1618229024.0002,7.0,3.0,1618229314.0033,"['U01S7BM4N81', 'U01RW2X7S9Z', 'U01S7KCL3DF']","[{'user': 'U01S7BM4N81', 'ts': '1618229069.000600'}, {'user': 'U01RW2X7S9Z', 'ts': '1618229097.001500'}, {'user': 'U01S7BM4N81', 'ts': '1618229139.002400'}, {'user': 'U01S7BM4N81', 'ts': '1618229156.002600'}, {'user': 'U01RW2X7S9Z', 'ts': '1618229164.002800'}, {'user': 'U01S7BM4N81', 'ts': '1618229300.003000'}, {'user': 'U01S7KCL3DF', 'ts': '1618229314.003300'}]",0.0,1.0,1618229314.0033,"[{'name': 'white_check_mark', 'users': ['U01S7BM4N81', 'U01RW2X7S9Z', 'U01SD3CDH9P', 'U01RKN0EGDV', 'U01S1CWGTU4', 'U01S6LCPM0C', 'U01SK96QF5E'], 'count': 7}]",,,,,,,,,,
c2d95c8b-3e50-4d48-8135-648704bf35d3,message,Who was first? :smile:,U01S7BM4N81,1618229069.0006,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': '=AEq', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Who was first? '}, {'type': 'emoji', 'name': 'smile'}]}]}]",1618229024.0002,,,,,,,,,,"{'user': 'U01S7BM4N81', 'ts': '1618229077.000000'}",U01RSRE0N3D,,,,,,,,
33452e06-616f-439e-9ad6-02aeb31269b5,message,Where is it?,U01RRV4JX6Z,1618229083.0011,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '339c4d69b7d9', 'image_72': 'https://avatars.slack-edge.com/2021-04-14/1961122781618_339c4d69b7d9fe16343a_72.jpg', 'first_name': '', 'real_name': 'Francisco Ebeling', 'display_name': 'Francisco Ebeling', 'team': 'T01RBRV5F7H', 'name': 'ebelingbarros', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'h+H', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Where is it?'}]}]}]",1618229083.0011,1.0,1.0,1618229101.0017,['U01S7BM4N81'],"[{'user': 'U01S7BM4N81', 'ts': '1618229101.001700'}]",0.0,0.0,,,,,,,,,,,,
67dc2652-03b5-4f43-b826-e8883ea5bc58,message,<https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python>,U01SD3CDH9P,1618229096.0014,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '735d50ad8f34', 'image_72': 'https://avatars.slack-edge.com/2021-04-15/1962810903269_735d50ad8f345a94bd76_72.jpg', 'first_name': '', 'real_name': 'Andrea Tognoli', 'display_name': 'Andrea Tognoli', 'team': 'T01RBRV5F7H', 'name': 'andreatognoli001', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'WN7', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python'}]}]}]",,,,,,,,,,,,,,,,,,,,
b63eafaf-fd31-4a13-b26b-81ee65d897fd,message,to know the answer or to put the tick? :girl-grin:,U01RW2X7S9Z,1618229097.0015,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'Nkf', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'to know the answer or to put the tick? '}, {'type': 'emoji', 'name': 'girl-grin'}]}]}]",1618229024.0002,,,,,,,,,,,U01RSRE0N3D,,,,,,,,
b83506b4-d33b-4182-bf59-f839e763f1f6,message,<https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python>,U01S7BM4N81,1618229101.0017,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'vnWr', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.codewars.com/kata/57a0556c7cb1f31ab3000ad7/train/python'}]}]}]",1618229083.0011,,,,,,,,,"[{'name': '+1', 'users': ['U01RRV4JX6Z'], 'count': 1}]",,U01RRV4JX6Z,,,,,,,,
cf13b5cd-b9e4-499d-bb1f-fb473e663ac7,message,Thanks,U01RRV4JX6Z,1618229107.0021,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '339c4d69b7d9', 'image_72': 'https://avatars.slack-edge.com/2021-04-14/1961122781618_339c4d69b7d9fe16343a_72.jpg', 'first_name': '', 'real_name': 'Francisco Ebeling', 'display_name': 'Francisco Ebeling', 'team': 'T01RBRV5F7H', 'name': 'ebelingbarros', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'KO6', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Thanks'}]}]}]",,,,,,,,,,,,,,,,,,,,
b76a4fe5-84dd-4ed8-96d0-86bad1aca6ec,message,:squirrel:,U01S7BM4N81,1618229139.0024,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'zDw', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'emoji', 'name': 'squirrel'}]}]}]",1618229024.0002,,,,,,,,,,,U01RSRE0N3D,,,,,,,,
3935e4b5-6961-452a-a160-97639da0803c,message,"you wouldnt hit the tick before you got the attempt right, would you?! :smile:",U01S7BM4N81,1618229156.0026,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'xzxY', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'you wouldnt hit the tick before you got the attempt right, would you?! '}, {'type': 'emoji', 'name': 'smile'}]}]}]",1618229024.0002,,,,,,,,,,,U01RSRE0N3D,,,,,,,,
34335673-7902-44c5-9c46-35984e43dcf3,message,"if you didnt wait until kosta put the link, open it, write the code and attempted, it doesnt count xD",U01RW2X7S9Z,1618229164.0028,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'hLmV', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'if you didnt wait until kosta put the link, open it, write the code and attempted, it doesnt count xD'}]}]}]",1618229024.0002,,,,,,,,,,,U01RSRE0N3D,,,,,,,,
