type,subtype,ts,user,text,client_msg_id,team,user_team,source_team,user_profile,attachments,blocks,edited,reactions,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,last_read,parent_user_id,files,upload,display_as_bot,bot_id,bot_profile,inviter,channel_name
message,channel_join,1616236909.0002,U01S1CWGTU4,<@U01S1CWGTU4> has joined the channel,,,,,,,,,,,,,,,,,,,,,,,,,,music
message,,1617896775.0003,U01S7BM4N81,<https://www.youtube.com/watch?v=qW1eTP9CKSE>,98d2a1df-fcab-4a15-a96c-514cd4fa55fa,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'YouTube', 'service_url': 'https://www.youtube.com/', 'title': 'Sigue Feliz -  Alonso TESTO (NARCOS EPISODE 7)', 'title_link': 'https://www.youtube.com/watch?v=qW1eTP9CKSE', 'author_name': 'NygusKL', 'author_link': 'https://www.youtube.com/user/NygusKL', 'thumb_url': 'https://i.ytimg.com/vi/qW1eTP9CKSE/hqdefault.jpg', 'thumb_width': 480, 'thumb_height': 360, 'fallback': 'YouTube Video: Sigue Feliz -  Alonso TESTO (NARCOS EPISODE 7)', 'video_html': '<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/qW1eTP9CKSE?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>', 'video_html_width': 400, 'video_html_height': 225, 'from_url': 'https://www.youtube.com/watch?v=qW1eTP9CKSE', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/youtube.png', 'id': 1, 'original_url': 'https://www.youtube.com/watch?v=qW1eTP9CKSE'}]","[{'type': 'rich_text', 'block_id': 'j53', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.youtube.com/watch?v=qW1eTP9CKSE'}]}]}]",,,,,,,,,,,,,,,,,,,music
message,,1620899613.0014,U01RXCQHMHT,"A thematic name for a playlist

<https://soundcloud.com/ryan-celsius/study-or-die>",c097123a-a43a-47a7-8d6b-c4ed6574b2c6,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7290c61c38a0', 'image_72': 'https://avatars.slack-edge.com/2021-03-22/1898002028225_7290c61c38a01ad66680_72.jpg', 'first_name': 'Thanh', 'real_name': 'Thanh Tung Ha Thuc DAFT Berlin March 2021', 'display_name': 'Tony Ha', 'team': 'T01RBRV5F7H', 'name': 'tony.hathuc', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'SoundCloud', 'service_url': 'https://soundcloud.com', 'title': 'ＳＴＵＤＹ  ＯＲ  ＤＩＥ by R y a n   C e l s i u s °', 'title_link': 'https://soundcloud.com/ryan-celsius/study-or-die', 'author_name': 'R y a n   C e l s i u s °', 'author_link': 'https://soundcloud.com/ryan-celsius', 'thumb_url': 'https://i1.sndcdn.com/artworks-I9myFWxXQ5ZUOt38-aoYQuw-t500x500.jpg', 'text': '-      STUDY OR DIE      -\nChill phonk and lofi mix\n        \n-x-x-x-x-  Tracklist  -x-x-x-x-\n0:00 CALL MARBY - dusk.\n2:03 shisvi - JOURNEY\n4:48 Kamiya - Fell Off\n6:54 antXres - WAR\n10:15 DJ Per Ohlin - FUNERAL MELANCHOLIC\n12:06 CALL MARBY - nite-trip\n15:35 cumulus frisbee - becomer [error404 edit]\n19:46 KEMURI NINE4 - BIG CITY AMBITIONS\n22:25 SHADOWSTAR - ENTER THE DARKSIDE\n24:47 YUNGMAPLE - WE AINT STRESSIN BOUT THE LOOT\n27:27 R3APER - EVERYWHERE I GO \n29:46 SHADOWSTAR - NIGHTMARES TO REALITY\n31:56 root - dream patrol\n35:41 akiba - ocean\n39:11 ile flottante - warp break\n41:22 Sov - Purgatory (jibun flip)', 'fallback': 'SoundCloud Audio: ＳＴＵＤＹ  ＯＲ  ＤＩＥ by R y a n   C e l s i u s °', 'audio_html': '<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F947090416&show_artwork=true&maxheight=150""></iframe>', 'audio_html_width': 100, 'audio_html_height': 150, 'from_url': 'https://soundcloud.com/ryan-celsius/study-or-die', 'thumb_width': 500, 'thumb_height': 500, 'service_icon': 'https://soundcloud.com/favicon.ico', 'id': 1, 'original_url': 'https://soundcloud.com/ryan-celsius/study-or-die'}]","[{'type': 'rich_text', 'block_id': 'RPjlQ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'A thematic name for a playlist\n\n'}, {'type': 'link', 'url': 'https://soundcloud.com/ryan-celsius/study-or-die'}]}]}]","{'user': 'U01RXCQHMHT', 'ts': '1620899639.000000'}","[{'name': 'laughing', 'users': ['U01S0E0MRJ7'], 'count': 1}]",,,,,,,,,,,,,,,,,music
message,,1620200078.006,U01S7KCL3DF,"<@U01RXCQHMHT> here’s a bangin track about Nigerian fight sports:

<https://open.spotify.com/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a>",a153f00e-8a2f-4c0f-9f4f-ebcf678f250e,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'Spotify', 'service_url': 'https://spotify.com', 'title': ""Dick Tiger's Victory"", 'title_link': 'https://open.spotify.com/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a', 'thumb_url': 'https://i.scdn.co/image/ab67616d00001e027637873071d431ab2ef5cf80', 'thumb_width': 300, 'thumb_height': 300, 'fallback': ""Spotify Audio: Dick Tiger's Victory"", 'audio_html': '<iframe width=""300"" height=""380"" allowtransparency=""true"" frameborder=""0"" allow=""encrypted-media"" title=""Spotify Embed: Dick Tiger&apos;s Victory"" src=""https://open.spotify.com/embed/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a""></iframe>', 'audio_html_width': 300, 'audio_html_height': 380, 'from_url': 'https://open.spotify.com/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/spotify.png', 'id': 1, 'original_url': 'https://open.spotify.com/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a'}]","[{'type': 'rich_text', 'block_id': 'kG4A', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01RXCQHMHT'}, {'type': 'text', 'text': ' here’s a bangin track about Nigerian fight sports:\n\n'}, {'type': 'link', 'url': 'https://open.spotify.com/track/4IPZISKACJIbVKVBy3EiRO?si=7c79925c3d0c467a'}]}]}]","{'user': 'U01S7KCL3DF', 'ts': '1620200251.000000'}",,,,,,,,,,,,,,,,,,music
message,,1620211287.0064,U01RSRE0N3D,"For all of you LotR ravers
<https://www.youtube.com/watch?v=z9Uz1icjwrM>",41475476-99d9-41d5-beb7-727785d8cd49,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '5b0571ca5e6f', 'image_72': 'https://avatars.slack-edge.com/2021-03-18/1876877550179_5b0571ca5e6fe1f759fe_72.jpg', 'first_name': 'Kosta', 'real_name': 'Kosta', 'display_name': 'Kosta', 'team': 'T01RBRV5F7H', 'name': 'kostadin.mitkov', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'YouTube', 'service_url': 'https://www.youtube.com/', 'title': 'Taking the Hobbits to Isengard - 10 HOURS', 'title_link': 'https://www.youtube.com/watch?v=z9Uz1icjwrM', 'author_name': 'eKolyable', 'author_link': 'https://www.youtube.com/user/eKolyable', 'thumb_url': 'https://i.ytimg.com/vi/z9Uz1icjwrM/hqdefault.jpg', 'thumb_width': 480, 'thumb_height': 360, 'fallback': 'YouTube Video: Taking the Hobbits to Isengard - 10 HOURS', 'video_html': '<iframe width=""400"" height=""300"" src=""https://www.youtube.com/embed/z9Uz1icjwrM?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>', 'video_html_width': 400, 'video_html_height': 300, 'from_url': 'https://www.youtube.com/watch?v=z9Uz1icjwrM', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/youtube.png', 'id': 1, 'original_url': 'https://www.youtube.com/watch?v=z9Uz1icjwrM'}]","[{'type': 'rich_text', 'block_id': 'Ap6fK', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'For all of you LotR ravers\n'}, {'type': 'link', 'url': 'https://www.youtube.com/watch?v=z9Uz1icjwrM'}]}]}]","{'user': 'U01RSRE0N3D', 'ts': '1620211359.000000'}","[{'name': 'white_check_mark', 'users': ['U01RW2X7S9Z'], 'count': 1}]",1620211287.0064,2.0,2.0,1620241557.0073,"['U01RW2X7S9Z', 'U01S7BM4N81']","[{'user': 'U01RW2X7S9Z', 'ts': '1620213007.006900'}, {'user': 'U01S7BM4N81', 'ts': '1620241557.007300'}]",0.0,1.0,1620241557.0073,,,,,,,,music
message,,1620213007.0069,U01RW2X7S9Z,"my recommender:
`input(""introduce your song:"")`
`print(""<https://www.youtube.com/watch?v=dQw4w9WgXcQ>"")`",003f3fc9-1d77-4811-9017-68c20dd995bd,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'L+bq', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'my recommender:\n'}, {'type': 'text', 'text': 'input(""introduce your song:"")', 'style': {'code': True}}, {'type': 'text', 'text': '\n'}, {'type': 'text', 'text': 'print(""', 'style': {'code': True}}, {'type': 'link', 'url': 'https://www.youtube.com/watch?v=dQw4w9WgXcQ', 'style': {'code': True}}, {'type': 'text', 'text': '"")', 'style': {'code': True}}]}]}]","{'user': 'U01RW2X7S9Z', 'ts': '1620213040.000000'}","[{'name': 'rickroll', 'users': ['U01RSRE0N3D', 'U01S7BM4N81'], 'count': 2}]",1620211287.0064,,,,,,,,,U01RSRE0N3D,,,,,,,music
message,,1620241557.0073,U01S7BM4N81,can’t believe I clicked that even though I was 90% sure I recognized the url :smile:,eb1475e9-ae4e-4d88-8c2b-cfb5fec442ce,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': '/6qC', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'can’t believe I clicked that even though I was 90% sure I recognized the url '}, {'type': 'emoji', 'name': 'smile'}]}]}]",,,1620211287.0064,,,,,,,,,U01RSRE0N3D,,,,,,,music
message,,1618244604.0019,U01S7BM4N81,"I find myself coding to electronic tunes quite often :slightly_smiling_face:

<https://open.spotify.com/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370>

Share yours! :slightly_smiling_face:",8699f7b0-c667-460b-8744-9fd09d2d19d1,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'Spotify', 'service_url': 'https://spotify.com', 'title': 'Les Grandes Marches', 'title_link': 'https://open.spotify.com/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370', 'thumb_url': 'https://i.scdn.co/image/ab67616d00001e02a3724493e953610be3141c9d', 'thumb_width': 300, 'thumb_height': 300, 'fallback': 'Spotify Audio: Les Grandes Marches', 'audio_html': '<iframe width=""300"" height=""380"" allowtransparency=""true"" frameborder=""0"" allow=""encrypted-media"" title=""Spotify Embed: Les Grandes Marches"" src=""https://open.spotify.com/embed/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370""></iframe>', 'audio_html_width': 300, 'audio_html_height': 380, 'from_url': 'https://open.spotify.com/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/spotify.png', 'id': 1, 'original_url': 'https://open.spotify.com/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370'}]","[{'type': 'rich_text', 'block_id': 'iqs6', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'I find myself coding to electronic tunes quite often '}, {'type': 'emoji', 'name': 'slightly_smiling_face'}, {'type': 'text', 'text': '\n\n'}, {'type': 'link', 'url': 'https://open.spotify.com/track/3n9JcswaEPwVz6TkRgEnBp?si=d855d184a2a64370'}, {'type': 'text', 'text': '\n\nShare yours! '}, {'type': 'emoji', 'name': 'slightly_smiling_face'}]}]}]",,,,,,,,,,,,,,,,,,,music
message,,1618244613.0023,U01S7BM4N81,Need some new music to code to,99a3c082-dbab-492e-98b8-f1bbe1e81c51,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '2adfc641e87e', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1994438084416_2adfc641e87e3a953d9c_72.png', 'first_name': 'Thamo', 'real_name': 'Thamo', 'display_name': 'Thamo', 'team': 'T01RBRV5F7H', 'name': 'thamokoeper', 'is_restricted': False, 'is_ultra_restricted': False}",,"[{'type': 'rich_text', 'block_id': 'lGy', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Need some new music to code to'}]}]}]",,,,,,,,,,,,,,,,,,,music
message,,1618296887.0026,U01RW2X7S9Z,<https://open.spotify.com/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c>,23f00318-d96f-422d-bfd4-edfd76fbcb16,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7e12d75d168a', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1880105796643_7e12d75d168ae25c167d_72.jpg', 'first_name': 'Alexandre', 'real_name': 'Alexandre Sommerkamp', 'display_name': 'Alexandre Sommerkamp', 'team': 'T01RBRV5F7H', 'name': 'alex.c.skp', 'is_restricted': False, 'is_ultra_restricted': False}","[{'service_name': 'Spotify', 'service_url': 'https://spotify.com', 'title': 'Neo-Psychedelic Rock', 'title_link': 'https://open.spotify.com/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c', 'thumb_url': 'https://i.scdn.co/image/ab67706f00000003a881bd415c7af8f65c5e2473', 'thumb_width': 640, 'thumb_height': 640, 'fallback': 'Spotify Audio: Neo-Psychedelic Rock', 'audio_html': '<iframe width=""300"" height=""380"" allowtransparency=""true"" frameborder=""0"" allow=""encrypted-media"" title=""Spotify Embed: Neo-Psychedelic Rock"" src=""https://open.spotify.com/embed/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c""></iframe>', 'audio_html_width': 300, 'audio_html_height': 380, 'from_url': 'https://open.spotify.com/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/spotify.png', 'id': 1, 'original_url': 'https://open.spotify.com/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c'}]","[{'type': 'rich_text', 'block_id': '+B8j', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://open.spotify.com/playlist/37i9dQZF1DX7k3T9O9bscd?si=9e3a7a44d2b14e7c'}]}]}]",,"[{'name': 'white_check_mark', 'users': ['U01RXCQHMHT', 'U01S7BM4N81'], 'count': 2}, {'name': 'headphones', 'users': ['U01S7BM4N81'], 'count': 1}]",,,,,,,,,,,,,,,,,music
